Genotype,Condition,Odor,Response.time,Experimenter,Date
N2,OP50,100pct,2.68,MD,2022-05-22
N2,OP50,100pct,9.44,MD,2022-05-22
N2,OP50,100pct,5.78,MD,2022-05-22
N2,OP50,100pct,1.63,MD,2022-05-22
N2,OP50,100pct,7.54,MD,2022-05-22
N2,OP50,100pct,9.16,MD,2022-05-22
cest-2.1,OP50,100pct,10.58,MD,2022-05-22
cest-2.1,OP50,100pct,1.49,MD,2022-05-22
cest-2.1,OP50,100pct,11.26,MD,2022-05-22
cest-2.1,OP50,100pct,4.51,MD,2022-05-22
cest-2.1,OP50,100pct,1.54,MD,2022-05-22
cest-2.1,OP50,100pct,4.06,MD,2022-05-22
cest-2.1,OP50,100pct,4.31,MD,2022-05-22
cest-2.1,OP50,100pct,3.63,MD,2022-05-22
cest-2.1,OP50,100pct,7.01,MD,2022-05-22
N2,JUb39,100pct,4.96,MD,2022-05-22
N2,JUb39,100pct,3.68,MD,2022-05-22
N2,JUb39,100pct,11.86,MD,2022-05-22
N2,JUb39,100pct,5.18,MD,2022-05-22
N2,JUb39,100pct,8.5,MD,2022-05-22
N2,JUb39,100pct,9.71,MD,2022-05-22
N2,JUb39,100pct,2.51,MD,2022-05-22
N2,JUb39,100pct,12.53,MD,2022-05-22
N2,JUb39,100pct,15.96,MD,2022-05-22
N2,JUb39,100pct,16.48,MD,2022-05-22
N2,JUb39,100pct,11.61,MD,2022-05-22
N2,JUb39,100pct,3.26,MD,2022-05-22
cest-2.1,JUb39,100pct,3.61,MD,2022-05-22
cest-2.1,JUb39,100pct,1.31,MD,2022-05-22
cest-2.1,JUb39,100pct,1.73,MD,2022-05-22
cest-2.1,JUb39,100pct,1.79,MD,2022-05-22
cest-2.1,JUb39,100pct,7.76,MD,2022-05-22
cest-2.1,JUb39,100pct,1.38,MD,2022-05-22
cest-2.1,JUb39,100pct,4.41,MD,2022-05-22
cest-2.1,JUb39,100pct,5.83,MD,2022-05-22
cest-2.1,JUb39,100pct,2.83,MD,2022-05-22
cest-2.1,JUb39,100pct,5.99,MD,2022-05-22
cest-2.1,JUb39,100pct,14.38,MD,2022-05-22
